ID,Name,Number,Street,ZIP,Phone,Cuisine,An Inspection,,,,Score,,,,Lat,Lng,List of Violation Codes
41000697,NOWHERE,322,EAST   14 STREET,10003,2124774744,American,12/27/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",30,12/27/2011,11/14/2014,Cycle Inspection / Re-inspection,40.731692,-73.984167,06D-04N-04H
41532069,RUBIROSA PIZZA & RISTORANTE,235,MULBERRY STREET,10012,2129650500,Pizza/Italian,10/11/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,30,10/11/2011,11/14/2014,Cycle Inspection / Re-inspection,40.722743,-73.996199,04L-06E-04C
41560911,ANTALIA TURKISH CUISINE,17,WEST   45 STREET,10036,2122213333,Turkish,6/30/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",30,6/30/2011,11/14/2014,Cycle Inspection / Re-inspection,40.756053,-73.980307,06D-04N-06C
41493226,SKY ROOM,330,WEST   40 STREET,10018,2123801195,American,9/19/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",30,9/19/2014,11/14/2014,Cycle Inspection / Re-inspection,40.756474,-73.992477,06C-05D-04N
40698274,BELLO GIARDINO,71,WEST   71 STREET,10023,2128751512,Italian,8/22/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,30,8/22/2014,11/14/2014,Cycle Inspection / Re-inspection,40.776721,-73.978754,04A-06D-02H
41373304,MING'S RESTAURANT,413415,9 AVENUE,10001,2128681378,Chinese,10/18/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",30,10/18/2011,11/14/2014,Cycle Inspection / Re-inspection,39.111064,-84.472935,06C-02G-02B
41408932,BALLARO,79,2 AVENUE,10003,2122282969,Italian,11/25/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,30,11/25/2013,11/14/2014,Cycle Inspection / Re-inspection,40.726657,-73.989439,04L-06C-04A
41199571,THE LEADBELLY,14,ORCHARD STREET,10002,6465969142,American,12/23/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",30,12/23/2011,11/14/2014,Cycle Inspection / Re-inspection,40.71498,-73.991663,06D-04H-06C
41305738,DARUMA-YA /SUSHI AZABU,428,GREENWICH STREET,10013,2122740428,Japanese,5/30/2013,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,30,5/30/2013,11/14/2014,Cycle Inspection / Re-inspection,40.72243,-74.009981,04K-04C-06D
41515855,STATION B/ IDLE HANDS,25,AVENUE B,10009,6466926216,American,8/27/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,30,8/27/2014,11/14/2014,Cycle Inspection / Re-inspection,40.722215,-73.983011,04L-04A-04H
40383009,CHA CHA'S BACKYARD GARDEN BAR & CAFE,113,MULBERRY STREET,10013,2124319755,Italian,3/8/2013,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,30,3/8/2013,11/14/2014,Cycle Inspection / Re-inspection,40.717637,-73.998496,04K-04J-06D
41704068,HANJAN,36,WEST   26 STREET,10010,2122067226,Korean,6/25/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",30,6/25/2014,11/14/2014,Cycle Inspection / Re-inspection,40.744179,-73.990669,06C-02G-06D
41364577,CHIPS & SALSA,43,WEST   46 STREET,10036,2127680080,Mexican,9/5/2013,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,30,9/5/2013,11/14/2014,Cycle Inspection / Re-inspection,40.756969,-73.980638,05F-04J-02G
41155953,FAT BABY,112,RIVINGTON STREET,10002,2125331888,American,5/24/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,5/24/2012,11/14/2014,Cycle Inspection / Re-inspection,40.720066,-73.987713,04N-04L-04H
40395122,GINO'S PIZZERIA RESTAURANT,345,EAST   83 STREET,10028,2127175336,Pizza,5/7/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,30,5/7/2013,11/14/2014,Cycle Inspection / Re-inspection,40.775354,-73.951216,04M-06E-06C
40396488,AUCTION HOUSE,300,EAST   89 STREET,10128,2124274458,American,11/16/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,11/16/2011,11/14/2014,Cycle Inspection / Re-inspection,40.779562,-73.95002,04N-05D-04H
40396605,EVERGREEN RESTAURANT,145,WEST   47 STREET,10036,2129217676,American,10/22/2013,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",30,10/22/2013,11/14/2014,Cycle Inspection / Re-inspection,40.758951,-73.983386,04D-04L-06B
41263394,LA NACIONAL,239,WEST   14 STREET,10011,2122439308,Spanish,9/22/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,30,9/22/2014,11/14/2014,Cycle Inspection / Re-inspection,40.73949,-74.001142,04L-05D-06C
41090495,DARK ROOM,16567,LUDLOW STREET,10002,2123530536,American,6/6/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",30,6/6/2014,11/14/2014,Cycle Inspection / Re-inspection,40.718688,-73.989062,06C-05D-04A
41387576,ANGELA CAKE,182,AUDUBON AVENUE,10033,2123044745,Bakery,7/18/2011,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,30,7/18/2011,11/14/2014,Cycle Inspection / Re-inspection,40.84419,-73.935913,04A-04N-04H
40785023,SAHARA EAST RESTAURANT,184,1 AVENUE,10009,2123539000,Egyptian,8/14/2014,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,30,8/14/2014,11/14/2014,Cycle Inspection / Re-inspection,40.729438,-73.983634,05D-04L-04A
41378736,KANG KEE CHINESE RESTAURANT,124,HESTER STREET,10002,2129662876,Chinese,3/21/2012,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,30,3/21/2012,11/14/2014,Cycle Inspection / Re-inspection,40.716894,-73.994695,05D-06E
41449587,CASK BAR & KITCHEN,167,EAST   33 STREET,10016,2123004924,American,6/4/2013,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",30,6/4/2013,11/14/2014,Cycle Inspection / Re-inspection,40.745371,-73.979014,04H-06E-04N
41360332,NEW WING WAH BAKERY,246,GRAND STREET,10002,2129411924,Bakery,10/2/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,10/2/2012,11/14/2014,Cycle Inspection / Re-inspection,40.718437,-73.994094,04N-02G-04M
41533270,PORSENA,2123,EAST    7 STREET,10003,2122284923,Italian,3/21/2013,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",30,3/21/2013,11/14/2014,Cycle Inspection / Re-inspection,40.726018,-73.983532,04J-02G-04L
41472510,LITTLE OCHIE JAMAICAN CUISINE,2492,7 AVENUE,10030,2122346300,Caribbean,11/14/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,30,11/14/2011,11/14/2014,Cycle Inspection / Re-inspection,40.821488,-73.939511,04M-04L-02B
41085466,GRACIE'S CAFE,1530,YORK AVENUE,10028,2125172667,American,4/15/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",30,4/15/2013,11/14/2014,Cycle Inspection / Re-inspection,40.772496,-73.949276,06E-06A-04L
40635366,THE LIBRARY,7,AVENUE A,10009,2123751352,"Bottled beverages, including water, sodas, juices, etc.",5/9/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",30,5/9/2012,11/14/2014,Cycle Inspection / Re-inspection,40.722595,-73.986314,04H-04N-06D
41639745,EL CARIBE RESTAURANT,1562,ST NICHOLAS AVENUE,10040,2127815135,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/15/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,30,4/15/2013,11/14/2014,Cycle Inspection / Re-inspection,40.85377,-73.930173,04M
40997599,GINGER,512,7 AVENUE,10018,2127683100,Chinese,4/17/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",30,4/17/2013,11/14/2014,Cycle Inspection / Re-inspection,40.753421,-73.989216,06E-02B-02G
40948723,PAQUITOS,143,1 AVENUE,10003,2126742071,Mexican,5/19/2014,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,30,5/19/2014,11/14/2014,Cycle Inspection / Re-inspection,40.728169,-73.98529,05D-04L-04J
41500642,BOB BAR,235,ELDRIDGE STREET,10002,2125291807,American,8/13/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",30,8/13/2013,11/14/2014,Cycle Inspection / Re-inspection,40.722444,-73.989985,06D-04C-04L
41512566,FUSHA,1065,1 AVENUE,10022,2127528883,Asian,10/3/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,10/3/2012,11/14/2014,Cycle Inspection / Re-inspection,40.759197,-73.96262,04N-04C-02G
50002626,GOLDEN BOWL RESTAURANT,51,DIVISION STREET,10002,9178067488,Chinese,11/26/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",30,11/26/2013,11/14/2014,Pre-permit (Operational) / Re-inspection,40.714209,-73.995128,06E-02B-06D
41462262,RUCHI INDIAN CUISINE,120,CEDAR STREET,10006,2122278454,Indian,7/3/2012,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,30,7/3/2012,11/14/2014,Cycle Inspection / Re-inspection,40.709527,-74.012688,06A-06B-02B
41663390,SUM HING CHINESE RESTAURANT,1520,AMSTEREDAM AVE,10031,2129265000,Chinese,2/26/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,30,2/26/2014,11/14/2014,Cycle Inspection / Re-inspection,40.819202,-73.952417,04L-02G-04D
41660217,CHANGLE XIN FAN ZHUANG,36,ELDRIDGE STREET,10002,2122192228,Chinese,3/13/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",30,3/13/2014,11/14/2014,Cycle Inspection / Re-inspection,40.715671,-73.99325,06C-04M-04K
41639196,MARIO GOURMET DELI,934,AMSTERDAM AVENUE,10025,2122224470,Delicatessen,2/6/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,30,2/6/2012,11/14/2014,Pre-permit (Operational) / Re-inspection,40.800395,-73.966021,06F-04A-06D
41644596,102 NOODLES TOWN RESTAURANT,102,MOTT STREET,10013,2124740696,Chinese,4/14/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",30,4/14/2014,11/14/2014,Cycle Inspection / Re-inspection,40.717349,-73.997141,06D-02G-04K
41008085,MARISCO CENTRO RESTAURANT,1490,ST. NICHOLAS AVENUE,10033,2127402000,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/3/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,6/3/2013,11/14/2014,Cycle Inspection / Re-inspection,40.851428,-73.931913,04N-02G-04L
41679966,SUBWAY,3920,BROADWAY,10032,2127409180,Sandwiches/Salads/Mixed Buffet,8/10/2012,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",30,8/10/2012,11/14/2014,Pre-permit (Operational) / Re-inspection,40.838457,-73.941058,04J-06E-06A
41626364,CONG LY RESTAURANT,124,HESTER STREET,10002,2123431111,Vietnamese/Cambodian/Malaysia,2/9/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",30,2/9/2012,11/14/2014,Pre-permit (Operational) / Re-inspection,40.716894,-73.994695,06C
50005934,MIYAKO SUSHI,642,AMSTERDAM AVENUE,10025,2127245200,Japanese,3/20/2014,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,31,3/20/2014,11/14/2014,Pre-permit (Operational) / Re-inspection,40.79117,-73.972878,06A-04N-04M
40538563,FOUR SEASONS HOTEL,57,EAST 57 STREET,10022,2128936819,American,12/18/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,12/18/2013,11/14/2014,Cycle Inspection / Re-inspection,40.762188,-73.971606,06D-04N-02G
41468267,ICHI UMI,6,EAST   32 STREET,10016,2127251333,Japanese,5/24/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",31,5/24/2012,11/14/2014,Cycle Inspection / Re-inspection,40.746729,-73.98486,04N-02B-02G
41478616,PEARLS,200,WEST   99 STREET,10025,2127490300,Asian,6/30/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,6/30/2011,11/14/2014,Cycle Inspection / Re-inspection,40.795994,-73.968969,05D-06C-06A
40510969,CAFE ASEAN,117,WEST   10 STREET,10011,2126330348,Thai,12/19/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",31,12/19/2011,11/14/2014,Cycle Inspection / Re-inspection,40.734899,-73.999501,06E-04N-02B
41457023,CASA MEZCAL,86,ORCHARD STREET,10002,2127772600,Mexican,9/13/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,31,9/13/2011,11/14/2014,Cycle Inspection / Re-inspection,40.717928,-73.990167,04L-06A-02G
50000707,AGODA ASIAN CUISINE,8,MURRAY STREET,10007,2126191655,Chinese/Japanese,6/9/2014,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,31,6/9/2014,11/14/2014,Cycle Inspection / Re-inspection,40.7133,-74.00814,06A-04M-04H
41313485,"DUNKIN' DONUTS, BASKIN ROBBINS",153,EAST   53 STREET,10022,2128885415,Donuts,12/23/2013,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,31,12/23/2013,11/14/2014,Cycle Inspection / Re-inspection,40.758362,-73.969858,06F-06D-02G
41703681,LEGEND UPPER WEST,258,WEST  109 STREET,10025,2122224800,Chinese,3/7/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,3/7/2013,11/14/2014,Pre-permit (Operational) / Re-inspection,40.803267,-73.966815,06D-06C-06A
41487738,MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,10029,2124274440,Mexican,7/11/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,31,7/11/2013,11/14/2014,Cycle Inspection / Re-inspection,40.794898,-73.944033,04L-02H-04M
41444184,THE AINSWORTH,122,WEST   26 STREET,10001,2127410646,American,3/21/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,3/21/2011,11/14/2014,Cycle Inspection / Re-inspection,40.74509,-73.992546,06D-02G-04L
50001308,JOE'S CRAB SHACK,2349,FREDERICK DOUGLASS BOULEVARD,10027,2122220477,Seafood,10/17/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",31,10/17/2013,11/14/2014,Pre-permit (Operational) / Re-inspection,40.810836,-73.950969,04N-02G-04H
41508542,MILLESIME,92,MADISON AVENUE,10016,2129928100,French,1/9/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",31,1/9/2012,11/14/2014,Cycle Inspection / Re-inspection,40.744486,-73.98558,04N-02G-06C
41592230,LA ISLA CAFE RESTAURANT,212,DELANCEY STREET,10002,2125984752,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/12/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,31,10/12/2011,11/14/2014,Pre-permit (Operational) / Re-inspection,40.717312,-73.983219,04L-04H-06C
40535391,CAFE CHAMPIGNON,200,7 AVENUE,10011,2123664410,Continental,3/28/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,31,3/28/2013,11/14/2014,Cycle Inspection / Re-inspection,40.743364,-73.996619,04L-02H-02G
41346774,PRONTO PIZZA,135,WEST 41 STREET,10036,2122218886,Pizza/Italian,5/28/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,5/28/2013,11/14/2014,Cycle Inspection / Re-inspection,40.754855,-73.985654,06D-04C-04L
41586126,NEW SPRING BOY CHINESE RESTAURANT,81,ALLEN STREET,10002,2126251921,Chinese,12/24/2012,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,12/24/2012,11/14/2014,Cycle Inspection / Re-inspection,40.718035,-73.991412,05D-02B-04L
41057024,OLLIES NOODLE SHOP & GRILLE,2957,BROADWAY,10025,2129323300,Chinese,10/4/2012,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",31,10/4/2012,11/14/2014,Cycle Inspection / Re-inspection,40.808205,-73.9639,04J-02G-02B
40941055,CAFE 22,2309,7 AVENUE,10030,2122818500,Soul Food,7/19/2014,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,7/19/2014,11/14/2014,Cycle Inspection / Re-inspection,40.815637,-73.943353,05D-02G-04J
50002696,YI ZHANG FISHBALL & SNACKS RESTAURANT,41,MONROE STREET,10002,6465095379,Chinese,8/21/2014,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,31,8/21/2014,11/14/2014,Cycle Inspection / Re-inspection,40.711688,-73.994573,04K-06C-05D
41455877,ENVY,220,EAST   53 STREET,10022,2127550222,Asian,10/18/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,10/18/2011,11/14/2014,Cycle Inspection / Re-inspection,40.75719,-73.9686,06D-04H-04A
41370355,SILOM THAI,150,8 AVENUE,10011,2126750080,Thai,12/6/2011,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,31,12/6/2011,11/14/2014,Cycle Inspection / Re-inspection,40.741898,-74.000962,06F-04L-06D
41704391,NEW MANDARIN COURT,61,MOTT STREET,10013,2126083838,Chinese,7/31/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,31,7/31/2013,11/14/2014,Cycle Inspection / Re-inspection,40.716055,-73.998533,04M-02B-04L
41705332,2058 DELI AND GROCERY,2058,LEXINGTON AVENUE,10035,6466449734,Delicatessen,1/15/2013,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,1/15/2013,11/14/2014,Pre-permit (Operational) / Re-inspection,40.804161,-73.937813,05D-04A-02G
41625263,WHITEHALL,19,GREENWICH AVENUE,10014,2126757261,English,4/17/2013,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,4/17/2013,11/14/2014,Cycle Inspection / Re-inspection,40.734478,-74.000112,05D-02G-06C
41011232,DROM,85,AVENUE A,10009,2127771157,Mediterranean,5/4/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,31,5/4/2012,11/14/2014,Cycle Inspection / Re-inspection,40.725358,-73.98443,04L-04A-02G
41570001,BILLY'S BAKERY,184,9 AVENUE,10011,2126479956,Bakery,9/20/2011,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,31,9/20/2011,11/14/2014,Cycle Inspection / Re-inspection,40.745316,-74.00186,06F-02G-06C
41016886,TENZAN CUISINE,285,COLUMBUS AVENUE,10023,2125807300,Japanese,12/6/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,31,12/6/2011,11/14/2014,Cycle Inspection / Re-inspection,40.778296,-73.977918,04L-02G-06C
41251040,THE BOILER ROOM,86,EAST    4 STREET,10003,2122547536,American,9/18/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",31,9/18/2012,11/14/2014,Cycle Inspection / Re-inspection,40.725952,-73.989165,04H-04N-05H
41542304,JUNOON,27,WEST   24 STREET,10010,2124902100,Indian,7/18/2012,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,31,7/18/2012,11/14/2014,Cycle Inspection / Re-inspection,40.743193,-73.990838,04C-04N-02H
41553745,HOP SHING RESTAURANT (NY),9,CHATHAM SQUARE,10038,2122670220,Chinese,8/20/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,31,8/20/2013,11/14/2014,Cycle Inspection / Re-inspection,40.714021,-73.998067,04M-02B-02H
41467392,POPEYE'S CHICKEN & BISCUITS,240,WEST   40 STREET,10018,2127647071,American,7/27/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,7/27/2011,11/14/2014,Cycle Inspection / Re-inspection,40.755211,-73.989566,05D
41398041,HOME'S KITCHEN RESTAURANT,22,EAST 21 STREET,10010,2124755049,Chinese,12/21/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,31,12/21/2011,11/14/2014,Cycle Inspection / Re-inspection,40.739437,-73.989135,05D-04N-06A
41653386,WORLD PIZZA CHAMPION,51,COLUMBIA STREET,10002,2122289488,Pizza,9/4/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,9/4/2012,11/14/2014,Cycle Inspection / Re-inspection,40.717339,-73.98046,06D-06F-06E
41579121,16 HANDLES,325,AMSTERDAM AVENUE,10023,6468611281,"Ice Cream, Gelato, Yogurt, Ices",4/10/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",31,4/10/2014,11/14/2014,Cycle Inspection / Re-inspection,40.780715,-73.979781,04J-04L-04H
41710596,KIPSEY'S,438,2 AVENUE,10010,6465903410,American,7/2/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",31,7/2/2014,11/14/2014,Cycle Inspection / Re-inspection,40.738859,-73.979797,04J-02G-04L
50001538,LE JARDIN,115,AVENUE C,10009,9174751213,American,8/12/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",31,8/12/2014,11/14/2014,Cycle Inspection / Re-inspection,40.724422,-73.978878,04N-02B-04L
40385461,CLOISTER CAFE,238,EAST    9 STREET,10003,2127779128,American,8/14/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",31,8/14/2012,11/14/2014,Cycle Inspection / Re-inspection,40.729298,-73.987899,06C-02G-04M
40368223,OYSTER BAR,,GRAND CENTRAL TERMINAL,10017,2124906650,Seafood,12/12/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",31,12/12/2011,11/14/2014,Cycle Inspection / Re-inspection,40.752998,-73.977056,04N-04M
40635770,GASLIGHT,400,WEST   14 STREET,10014,2128078444,American,8/9/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",31,8/9/2013,11/14/2014,Cycle Inspection / Re-inspection,40.740794,-74.005769,06D-04H-06C
