,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,Address,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40732665,KATZ'S DELICATESSEN,MANHATTAN,205,EAST HOUSTON STREET,10002,2122542246,Delicatessen,12/30/2013,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"205 EAST HOUSTON STREET, New York City, NY 10002",28,C,12/30/2013,11/14/2014,Cycle Inspection / Re-inspection
41033548,CAFE PICK ME UP,MANHATTAN,145147,AVENUE A,10009,2126737231,American,7/5/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"145147 AVENUE A, New York City, NY 10009",28,C,7/5/2013,11/14/2014,Cycle Inspection / Re-inspection
41599911,INCOGNITO BISTRO,MANHATTAN,30,WEST   18 STREET,10011,2124141231,Continental,3/31/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"30 WEST   18 STREET, New York City, NY 10011",28,C,3/31/2014,11/14/2014,Cycle Inspection / Re-inspection
41606848,BAOHAUS,MANHATTAN,238,EAST   14 STREET,10003,6466698889,Chinese,6/13/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"238 EAST   14 STREET, New York City, NY 10003",28,C,6/13/2012,11/14/2014,Cycle Inspection / Re-inspection
41184311,WINSTON & TEE EXPRESS JERK CHICKEN AND CARIBBEAN,MANHATTAN,1257,PARK AVENUE,10029,2128606831,Caribbean,7/5/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"1257 PARK AVENUE, New York City, NY 10029",28,C,7/5/2013,11/14/2014,Cycle Inspection / Re-inspection
40837561,BREAD,MANHATTAN,20,SPRING STREET,10012,2123341015,Italian,2/4/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","20 SPRING STREET, New York City, NY 10012",28,C,2/4/2014,11/14/2014,Cycle Inspection / Re-inspection
40730597,STIR CAFE,MANHATTAN,32,BROADWAY,10004,2124255123,American,6/6/2012,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.","32 BROADWAY, New York City, NY 10004",28,C,6/6/2012,11/14/2014,Cycle Inspection / Re-inspection
41193088,MOJITO'S,MANHATTAN,227,EAST 116 STREET,10029,2128288635,Mexican,11/18/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","227 EAST 116 STREET, New York City, NY 10029",28,C,11/18/2013,11/14/2014,Cycle Inspection / Re-inspection
41193088,MOJITO'S,MANHATTAN,227,EAST 116 STREET,10029,2128288635,Mexican,11/18/2013,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"227 EAST 116 STREET, New York City, NY 10029",28,C,11/18/2013,11/14/2014,Cycle Inspection / Re-inspection
40730597,STIR CAFE,MANHATTAN,32,BROADWAY,10004,2124255123,American,6/6/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"32 BROADWAY, New York City, NY 10004",28,C,6/6/2012,11/14/2014,Cycle Inspection / Re-inspection
40703791,STARBUCKS COFFEE,MANHATTAN,,ROCKEFELLER CENTER,10020,2123977950,Café/Coffee/Tea,12/27/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"ROCKEFELLER CENTER, New York City, NY 10020",28,C,12/27/2011,11/14/2014,Cycle Inspection / Re-inspection
41046492,CAFE EXCHANGE,MANHATTAN,49,BROADWAY,10006,2124255000,American,8/27/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"49 BROADWAY, New York City, NY 10006",28,C,8/27/2013,11/14/2014,Cycle Inspection / Re-inspection
40600516,CAFFE PALERMO,MANHATTAN,148,MULBERRY STREET,10013,2124314205,Italian,10/29/2013,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"148 MULBERRY STREET, New York City, NY 10013",28,C,10/29/2013,11/14/2014,Cycle Inspection / Re-inspection
41046492,CAFE EXCHANGE,MANHATTAN,49,BROADWAY,10006,2124255000,American,8/27/2013,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","49 BROADWAY, New York City, NY 10006",28,C,8/27/2013,11/14/2014,Cycle Inspection / Re-inspection
41318801,CHARLOTTE RESTAURANT BAR & LOUNGE,MANHATTAN,145,WEST   44 STREET,10036,2127684400,American,12/1/2011,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"145 WEST   44 STREET, New York City, NY 10036",28,C,12/1/2011,11/14/2014,Cycle Inspection / Re-inspection
41529297,JOSEPHINE,MANHATTAN,40,HARRISON STREET,10013,6467264113,French,1/6/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"40 HARRISON STREET, New York City, NY 10013",28,C,1/6/2014,11/14/2014,Cycle Inspection / Re-inspection
41704189,SALVO'S,MANHATTAN,1477,YORK AVENUE,10075,6465901925,Pizza/Italian,9/26/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","1477 YORK AVENUE, New York City, NY 10075",28,C,9/26/2013,11/14/2014,Cycle Inspection / Re-inspection
40600516,CAFFE PALERMO,MANHATTAN,148,MULBERRY STREET,10013,2124314205,Italian,10/29/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"148 MULBERRY STREET, New York City, NY 10013",28,C,10/29/2013,11/14/2014,Cycle Inspection / Re-inspection
41011887,THE CITY BAKERY,MANHATTAN,3,WEST   18 STREET,10011,2123661414,American,12/12/2013,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.","3 WEST   18 STREET, New York City, NY 10011",28,C,12/12/2013,11/14/2014,Cycle Inspection / Re-inspection
40511645,RESTIVO RISTORANTE,MANHATTAN,209,7 AVENUE,10011,2123664133,Italian,7/16/2012,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"209 7 AVENUE, New York City, NY 10011",28,C,7/16/2012,11/14/2014,Cycle Inspection / Re-inspection
41328457,MARITZA CAKE,MANHATTAN,2153,AMSTERDAM AVENUE,10032,2127955849,Bakery,1/15/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"2153 AMSTERDAM AVENUE, New York City, NY 10032",28,C,1/15/2014,11/14/2014,Cycle Inspection / Re-inspection
41387920,MANCHESTER PUB,MANHATTAN,920,2 AVENUE,10017,2129358901,American,1/23/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","920 2 AVENUE, New York City, NY 10017",28,C,1/23/2012,11/14/2014,Cycle Inspection / Re-inspection
41387920,MANCHESTER PUB,MANHATTAN,920,2 AVENUE,10017,2129358901,American,1/23/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"920 2 AVENUE, New York City, NY 10017",28,C,1/23/2012,11/14/2014,Cycle Inspection / Re-inspection
41572551,EATS,MANHATTAN,1055,LEXINGTON AVENUE,10021,2123963287,American,10/6/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"1055 LEXINGTON AVENUE, New York City, NY 10021",28,C,10/6/2011,11/14/2014,Pre-permit (Operational) / Re-inspection
41685081,85 CHINESE RESTAURANT,MANHATTAN,85,CHRYSTIE STREET,10002,2126800118,Chinese,6/3/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"85 CHRYSTIE STREET, New York City, NY 10002",28,C,6/3/2013,11/14/2014,Cycle Inspection / Re-inspection
41193088,MOJITO'S,MANHATTAN,227,EAST 116 STREET,10029,2128288635,Mexican,11/18/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"227 EAST 116 STREET, New York City, NY 10029",28,C,11/18/2013,11/14/2014,Cycle Inspection / Re-inspection
41314977,THE RUSTY KNOT,MANHATTAN,374,WEST   11 STREET,10014,2126465668,American,1/17/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"374 WEST   11 STREET, New York City, NY 10014",28,C,1/17/2012,11/14/2014,Cycle Inspection / Re-inspection
41314977,THE RUSTY KNOT,MANHATTAN,374,WEST   11 STREET,10014,2126465668,American,1/17/2012,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","374 WEST   11 STREET, New York City, NY 10014",28,C,1/17/2012,11/14/2014,Cycle Inspection / Re-inspection
41309940,ARTICHOKE PIZZA & BREWERY,MANHATTAN,328,EAST   14 STREET,10003,2122282004,Pizza,4/23/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","328 EAST   14 STREET, New York City, NY 10003",28,C,4/23/2014,11/14/2014,Cycle Inspection / Re-inspection
41468786,MUSTANG CAFE,MANHATTAN,22,WEST   38 STREET,10018,2123545522,American,12/26/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"22 WEST   38 STREET, New York City, NY 10018",28,C,12/26/2012,11/14/2014,Cycle Inspection / Re-inspection
41336612,LE POISSON ROUGE,MANHATTAN,158,BLEECKER STREET,10012,2125053474,French,3/13/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","158 BLEECKER STREET, New York City, NY 10012",28,C,3/13/2012,11/14/2014,Cycle Inspection / Re-inspection
41247170,TIFFIN WALLA,MANHATTAN,127,EAST   28 STREET,10016,2126857301,Indian,11/4/2010,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"127 EAST   28 STREET, New York City, NY 10016",28,C,11/4/2010,11/14/2014,Cycle Inspection / Re-inspection
41240360,MOLLY PITCHERS ALE HOUSE,MANHATTAN,1641,2 AVENUE,10028,2122493068,American,6/19/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","1641 2 AVENUE, New York City, NY 10028",28,C,6/19/2013,11/14/2014,Cycle Inspection / Re-inspection
41643561,JERUSALEM CAFE,MANHATTAN,35,WEST   36 STREET,10018,2123981475,Jewish/Kosher,6/4/2013,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.","35 WEST   36 STREET, New York City, NY 10018",28,C,6/4/2013,11/14/2014,Cycle Inspection / Re-inspection
41529297,JOSEPHINE,MANHATTAN,40,HARRISON STREET,10013,6467264113,French,1/6/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","40 HARRISON STREET, New York City, NY 10013",28,C,1/6/2014,11/14/2014,Cycle Inspection / Re-inspection
41529297,JOSEPHINE,MANHATTAN,40,HARRISON STREET,10013,6467264113,French,1/6/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"40 HARRISON STREET, New York City, NY 10013",28,C,1/6/2014,11/14/2014,Cycle Inspection / Re-inspection
41576783,BELLA DONNA CAFE,MANHATTAN,191,PRINCE STREET,10012,2127777005,Italian,3/24/2014,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.","191 PRINCE STREET, New York City, NY 10012",28,C,3/24/2014,11/14/2014,Cycle Inspection / Re-inspection
41218916,TINA'S RESTAURANT,MANHATTAN,23,WEST 56 STREET,10019,2123154313,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/25/2014,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","23 WEST 56 STREET, New York City, NY 10019",28,C,3/25/2014,11/14/2014,Cycle Inspection / Re-inspection
41704189,SALVO'S,MANHATTAN,1477,YORK AVENUE,10075,6465901925,Pizza/Italian,9/26/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","1477 YORK AVENUE, New York City, NY 10075",28,C,9/26/2013,11/14/2014,Cycle Inspection / Re-inspection
41660323,KENNEDY FRIED CHICKEN,MANHATTAN,536,EAST 14 STREET,10009,2125296166,Chicken,4/3/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"536 EAST 14 STREET, New York City, NY 10009",28,C,4/3/2013,11/14/2014,Pre-permit (Operational) / Re-inspection
41388484,ABOTTEGA,MANHATTAN,14,BEDFORD STREET,10014,2126759080,Italian,7/3/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"14 BEDFORD STREET, New York City, NY 10014",28,C,7/3/2012,11/14/2014,Cycle Inspection / Re-inspection
41606171,IHOP,MANHATTAN,235237,EAST   14 STREET,10003,2123881499,American,7/11/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"235237 EAST   14 STREET, New York City, NY 10003",28,C,7/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41521287,WEST NEW MALAYSIA RESTAURANT,MANHATTAN,4648,BOWERY,10013,2129640284,Asian,5/23/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","4648 BOWERY, New York City, NY 10013",28,C,5/23/2013,11/14/2014,Cycle Inspection / Re-inspection
41521287,WEST NEW MALAYSIA RESTAURANT,MANHATTAN,4648,BOWERY,10013,2129640284,Asian,5/23/2013,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.,"4648 BOWERY, New York City, NY 10013",28,C,5/23/2013,11/14/2014,Cycle Inspection / Re-inspection
41427945,EL PORRON,MANHATTAN,1123,1 AVENUE,10065,2122078349,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/1/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","1123 1 AVENUE, New York City, NY 10065",28,C,8/1/2011,11/14/2014,Cycle Inspection / Re-inspection
41328457,MARITZA CAKE,MANHATTAN,2153,AMSTERDAM AVENUE,10032,2127955849,Bakery,1/15/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"2153 AMSTERDAM AVENUE, New York City, NY 10032",28,C,1/15/2014,11/14/2014,Cycle Inspection / Re-inspection
41626468,WORTH CAFE,MANHATTAN,111,WORTH STREET,10013,2123741000,American,5/7/2012,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","111 WORTH STREET, New York City, NY 10013",28,C,5/7/2012,11/14/2014,Cycle Inspection / Re-inspection
41555344,FRESH WOK,MANHATTAN,1777,1 AVENUE,10128,2128287688,Chinese,2/1/2012,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","1777 1 AVENUE, New York City, NY 10128",28,C,2/1/2012,11/14/2014,Cycle Inspection / Re-inspection
41387920,MANCHESTER PUB,MANHATTAN,920,2 AVENUE,10017,2129358901,American,1/23/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","920 2 AVENUE, New York City, NY 10017",28,C,1/23/2012,11/14/2014,Cycle Inspection / Re-inspection
41685081,85 CHINESE RESTAURANT,MANHATTAN,85,CHRYSTIE STREET,10002,2126800118,Chinese,6/3/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"85 CHRYSTIE STREET, New York City, NY 10002",28,C,6/3/2013,11/14/2014,Cycle Inspection / Re-inspection
41304210,BLK MKT,MANHATTAN,110,AVENUE A,10009,2126149798,American,5/10/2013,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","110 AVENUE A, New York City, NY 10009",28,C,5/10/2013,11/14/2014,Cycle Inspection / Re-inspection
41626468,WORTH CAFE,MANHATTAN,111,WORTH STREET,10013,2123741000,American,5/7/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"111 WORTH STREET, New York City, NY 10013",28,C,5/7/2012,11/14/2014,Cycle Inspection / Re-inspection
40375376,AGRA RESTAURANT,MANHATTAN,807,LEXINGTON AVENUE,10065,2123088281,Indian,11/2/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"807 LEXINGTON AVENUE, New York City, NY 10065",28,C,11/2/2011,11/14/2014,Cycle Inspection / Re-inspection
41626468,WORTH CAFE,MANHATTAN,111,WORTH STREET,10013,2123741000,American,5/7/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","111 WORTH STREET, New York City, NY 10013",28,C,5/7/2012,11/14/2014,Cycle Inspection / Re-inspection
40375376,AGRA RESTAURANT,MANHATTAN,807,LEXINGTON AVENUE,10065,2123088281,Indian,11/2/2011,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,"807 LEXINGTON AVENUE, New York City, NY 10065",28,C,11/2/2011,11/14/2014,Cycle Inspection / Re-inspection
40825908,POLANCO RESTAURANT BBQ,MANHATTAN,2421,ADAM CLAYTON POWELL JR B,10030,2128621090,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/22/2014,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,"2421 ADAM CLAYTON POWELL JR B, New York City, NY 10030",28,C,5/22/2014,11/14/2014,Cycle Inspection / Re-inspection
40375376,AGRA RESTAURANT,MANHATTAN,807,LEXINGTON AVENUE,10065,2123088281,Indian,11/2/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","807 LEXINGTON AVENUE, New York City, NY 10065",28,C,11/2/2011,11/14/2014,Cycle Inspection / Re-inspection
41599911,INCOGNITO BISTRO,MANHATTAN,30,WEST   18 STREET,10011,2124141231,Continental,3/31/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"30 WEST   18 STREET, New York City, NY 10011",28,C,3/31/2014,11/14/2014,Cycle Inspection / Re-inspection
41566907,LAS PANTERAS NEGRAS RESTAURANT,MANHATTAN,2130,2 AVENUE,10029,9174927730,Mexican,2/3/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"2130 2 AVENUE, New York City, NY 10029",28,C,2/3/2014,11/14/2014,Cycle Inspection / Re-inspection
41318801,CHARLOTTE RESTAURANT BAR & LOUNGE,MANHATTAN,145,WEST   44 STREET,10036,2127684400,American,12/1/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"145 WEST   44 STREET, New York City, NY 10036",28,C,12/1/2011,11/14/2014,Cycle Inspection / Re-inspection
50001832,AMUSE WINE BAR,MANHATTAN,121,LUDLOW STREET,10002,2124770100,American,7/16/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","121 LUDLOW STREET, New York City, NY 10002",28,C,7/16/2014,11/14/2014,Cycle Inspection / Re-inspection
50001832,AMUSE WINE BAR,MANHATTAN,121,LUDLOW STREET,10002,2124770100,American,7/16/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"121 LUDLOW STREET, New York City, NY 10002",28,C,7/16/2014,11/14/2014,Cycle Inspection / Re-inspection
41318801,CHARLOTTE RESTAURANT BAR & LOUNGE,MANHATTAN,145,WEST   44 STREET,10036,2127684400,American,12/1/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","145 WEST   44 STREET, New York City, NY 10036",28,C,12/1/2011,11/14/2014,Cycle Inspection / Re-inspection
41576783,BELLA DONNA CAFE,MANHATTAN,191,PRINCE STREET,10012,2127777005,Italian,3/24/2014,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"191 PRINCE STREET, New York City, NY 10012",28,C,3/24/2014,11/14/2014,Cycle Inspection / Re-inspection
41674516,RANCH1,MANHATTAN,918,3 AVENUE,10022,2127594000,American,3/25/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"918 3 AVENUE, New York City, NY 10022",28,C,3/25/2014,11/14/2014,Cycle Inspection / Re-inspection
41488530,HANG LEE RESTAURANT,MANHATTAN,666,WEST 204 STREET,10034,2129420927,Chinese,9/26/2012,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.","666 WEST 204 STREET, New York City, NY 10034",28,C,9/26/2012,11/14/2014,Cycle Inspection / Re-inspection
41521287,WEST NEW MALAYSIA RESTAURANT,MANHATTAN,4648,BOWERY,10013,2129640284,Asian,5/23/2013,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"4648 BOWERY, New York City, NY 10013",28,C,5/23/2013,11/14/2014,Cycle Inspection / Re-inspection
41655272,PAPI'S PIZZERIA,MANHATTAN,1422,ST NICHOLAS AVENUE,10033,6466926840,Pizza,10/26/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"1422 ST NICHOLAS AVENUE, New York City, NY 10033",28,C,10/26/2012,11/14/2014,Cycle Inspection / Re-inspection
41572551,EATS,MANHATTAN,1055,LEXINGTON AVENUE,10021,2123963287,American,10/6/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"1055 LEXINGTON AVENUE, New York City, NY 10021",28,C,10/6/2011,11/14/2014,Pre-permit (Operational) / Re-inspection
41721563,BOMBAYDUCK CO.,MANHATTAN,190,BLEECKER STREET,10012,2125292900,Indian,6/18/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"190 BLEECKER STREET, New York City, NY 10012",28,C,6/18/2013,11/14/2014,Pre-permit (Operational) / Re-inspection
41474378,ZENGO NYC,MANHATTAN,622,3 AVENUE,10017,2128088110,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/27/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"622 3 AVENUE, New York City, NY 10017",28,C,11/27/2012,11/14/2014,Cycle Inspection / Re-inspection
40973003,THE PATRIOT SALOON,MANHATTAN,110,CHAMBERS STREET,10007,2127481162,American,10/12/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","110 CHAMBERS STREET, New York City, NY 10007",28,C,10/12/2011,11/14/2014,Cycle Inspection / Re-inspection
41555344,FRESH WOK,MANHATTAN,1777,1 AVENUE,10128,2128287688,Chinese,2/1/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"1777 1 AVENUE, New York City, NY 10128",28,C,2/1/2012,11/14/2014,Cycle Inspection / Re-inspection
41685081,85 CHINESE RESTAURANT,MANHATTAN,85,CHRYSTIE STREET,10002,2126800118,Chinese,6/3/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","85 CHRYSTIE STREET, New York City, NY 10002",28,C,6/3/2013,11/14/2014,Cycle Inspection / Re-inspection
41240360,MOLLY PITCHERS ALE HOUSE,MANHATTAN,1641,2 AVENUE,10028,2122493068,American,6/19/2013,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"1641 2 AVENUE, New York City, NY 10028",28,C,6/19/2013,11/14/2014,Cycle Inspection / Re-inspection
41247170,TIFFIN WALLA,MANHATTAN,127,EAST   28 STREET,10016,2126857301,Indian,11/4/2010,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","127 EAST   28 STREET, New York City, NY 10016",28,C,11/4/2010,11/14/2014,Cycle Inspection / Re-inspection
40825908,POLANCO RESTAURANT BBQ,MANHATTAN,2421,ADAM CLAYTON POWELL JR B,10030,2128621090,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/22/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"2421 ADAM CLAYTON POWELL JR B, New York City, NY 10030",28,C,5/22/2014,11/14/2014,Cycle Inspection / Re-inspection
41475946,GRAND SICHUAN,MANHATTAN,1923,ST MARKS PLACE,10003,2125294800,Chinese,4/30/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"1923 ST MARKS PLACE, New York City, NY 10003",28,C,4/30/2014,11/14/2014,Cycle Inspection / Re-inspection
40387890,TRE GIOVANI PIZZA & PASTA,MANHATTAN,548,LA GUARDIA PLACE,10012,2124757420,Italian,12/21/2011,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.","548 LA GUARDIA PLACE, New York City, NY 10012",28,C,12/21/2011,11/14/2014,Cycle Inspection / Re-inspection
41304210,BLK MKT,MANHATTAN,110,AVENUE A,10009,2126149798,American,5/10/2013,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,"110 AVENUE A, New York City, NY 10009",28,C,5/10/2013,11/14/2014,Cycle Inspection / Re-inspection
